,x,y,z,fov_id,predicted_name,predicted_id,probability,distance
85920,1669,273,8,226,background,266,0.9984086,
85921,867,295,8,226,Ifnar1,75,0.8562622,
85922,868,392,8,226,Sdc1,92,0.9367401,
85923,1679,467,8,226,Slc51a,1,0.99982613,
85924,13,666,8,226,Neat1,49,0.85978127,
85925,1073,1281,8,226,Apob,45,0.9988839,
85926,602,824,8,226,background,266,0.9996246,
85927,852,1657,8,226,Cd34,96,0.57649904,
85928,866,551,8,226,Acta2,59,0.99636227,
85929,1547,1323,8,226,Ada,48,0.9998306,
85930,1230,513,8,226,H2-Eb1,104,0.71508515,
85931,1888,1254,8,226,Vim,58,0.97647196,
85932,663,1057,8,226,Fzd5,167,0.9997826,
85933,1734,1204,8,226,background,266,0.9766317,
85934,1774,903,8,226,Slc51a,1,0.999835,
85935,1784,398,8,226,background,266,0.8965706,
85936,1322,93,8,226,Slc51a,1,0.957664,
85937,1256,619,8,226,Net1,46,0.9928617,
85938,619,1311,8,226,Cckar,223,0.9327129,
85939,1344,531,8,226,Il7r,111,0.76041824,
85940,1201,769,8,226,Net1,46,0.999944,
85941,1752,376,8,226,Clca3b,7,0.94797534,
85942,1258,294,8,226,Sdc1,92,0.9998042,
85943,649,994,8,226,Txndc5,5,0.8246258,
85944,1873,1080,8,226,background,266,0.9393339,
85945,1176,1205,8,226,Slc51a,1,0.9997806,
85946,1109,784,8,226,Jaml,11,0.9991547,
85947,869,183,8,226,background,266,0.9930098,
85948,1025,1285,8,226,background,266,0.50024784,
85949,1109,1338,8,226,Slc51a,1,0.99992454,
85950,1951,345,8,226,background,266,0.74438226,
85951,1037,968,8,226,Gpr31b,132,0.998966,
85952,493,483,8,226,Slc51a,1,0.9999405,
85953,1565,463,8,226,Apob,45,0.50264406,
85954,1652,1246,8,226,Apob,45,0.99996614,
85955,1782,1353,8,226,Slc51a,1,1.0,
85956,839,3,8,226,background,266,0.9865172,
85957,700,1705,8,226,Apob,45,0.9842694,
85958,1149,1201,8,226,Ptger4,153,0.99350893,
85959,991,1339,8,226,Ada,48,0.9061479,
85960,1383,662,8,226,background,266,0.53580785,
85961,1696,1046,8,226,background,266,0.989869,
85962,1878,639,8,226,Txndc5,5,0.99999976,
